-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1129,1130,1131,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1162,-1,1164,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1194,1195,-1,1197,1198,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1227,-1,-1,-1,1231,-1,-1,-1,-1,-1,-1,1301
-1,-1,-1,1259,1260,-1,-1,-1,-1,1265,1296,1297,1298,1301,1302,-1
-1,-1,1269,1292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1301,1302,1160,-1,-1,-1,-1,-1,-1,1362,1363,1364,-1,-1,-1
1353,1096,-1,-1,-1,-1,-1,-1,-1,1423,1354,1356,1353,-1,-1,-1
1257,1095,-1,-1,-1,-1,-1,-1,1455,1423,-1,-1,1386,-1,-1,-1
1290,1291,-1,-1,-1,-1,-1,1288,1524,1456,-1,-1,1419,-1,-1,-1
1323,1324,-1,-1,1589,1454,1454,-1,-1,-1,-1,-1,1486,-1,-1,-1
-1,1419,-1,-1,-1,1593,-1,-1,-1,-1,-1,-1,1422,-1,-1,1425
-1,1452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1490,-1,1492,-1
-1,-1,1486,1420,-1,-1,-1,-1,-1,-1,-1,-1,1531,1599,-1,-1
-1,-1,-1,1589,1420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1486,1530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,537
793,858,-1,-1,-1,862,763,-1,-1,-1,-1,-1,-1,-1,602,603
858,859,-1,-1,-1,861,862,-1,-1,232,1586,265,266,267,275,276
891,594,-1,-1,-1,594,895,364,-1,366,667,-1,-1,-1,904,543
462,301,-1,-1,-1,-1,51,232,-1,1032,297,-1,-1,-1,937,576
333,334,-1,-1,-1,-1,-1,-1,-1,297,330,-1,-1,-1,873,934
366,367,-1,-1,-1,-1,-1,-1,-1,330,330,543,-1,543,937,967
1031,1033,-1,-1,-1,-1,-1,277,278,363,330,576,-1,576,334,1000
-1,-1,-1,-1,-1,-1,-1,-1,-1,1029,502,203,-1,203,1032,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
